%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1470068791552722133,-0.0365422070026,0.344806224108,1.37471711636,-0.111908821849,0.00646806232392,0.766474581068,-0.632417027237
1470068791663202646,-0.0365081913769,0.343540608883,1.37314593792,-0.0223313033288,0.00852973920253,0.435400331598,0.899919500669
1470068791744763006,-0.0365464836359,0.344209522009,1.37232351303,-0.146392433364,0.00867741178704,0.76742707133,-0.624139125652
1470068791824280442,-0.0364924930036,0.344590306282,1.37385118008,-0.0877233310765,0.00506411044001,0.766819445261,-0.635819872559
1470068791902129914,-0.0364924930036,0.344590306282,1.37385118008,-0.0877233310765,0.00506411044001,0.766819445261,-0.635819872559
1470068791976221431,-0.0365450009704,0.344509840012,1.3735281229,-0.126508060252,0.00739893562922,0.766972950399,-0.629041699571
1470068792057896593,-0.0365085527301,0.34313711524,1.371545434,-0.0175754560703,0.00674272523724,0.434141780911,0.900647851864
1470068792142242927,-0.0365447103977,0.34451341629,1.37354290485,-0.13105820426,0.00767131947042,0.766930695924,-0.628157787187
1470068792222554595,-0.0363051742315,0.344332993031,1.37281167507,-0.0857731028131,0.00502459875744,0.767881353006,-0.634803872032
1470068792300704694,-0.0350148491561,0.338800996542,1.34671807289,-0.363615285005,0.0450103570027,0.781613732808,-0.504814782826
1470068792374448521,-0.0345574170351,0.338750511408,1.34159052372,-0.167536323397,0.0157973049978,0.780100385245,-0.602598883536
1470068792445266250,-0.0342542305589,0.337050586939,1.33269834518,-0.250937417099,0.0271372547793,0.775858930528,-0.578218731989
1470068792515989915,-0.0358034186065,0.332682400942,1.32278013229,-0.264458772373,0.0243788768921,0.774601563081,-0.573985754657
1470068792589310066,-0.034400742501,0.325053304434,1.29714858532,-0.21930816176,0.0202629021022,0.770438036009,-0.598262966976
1470068792669192001,-0.0330537594855,0.319443106651,1.27456009388,-0.258213656785,0.0258094188109,0.781318144633,-0.567627992807
1470068792743684602,-0.0323240160942,0.315426081419,1.26309776306,-0.246766265596,0.0278164668713,0.775083567951,-0.581014730473
1470068792822946555,-0.0324886068702,0.310808986425,1.25845968723,-0.0309754470968,0.003363138166,-0.424946689605,-0.904682000469
1470068792903036142,-0.0317412354052,0.309038609266,1.2517029047,-0.356784948984,0.0299798379578,0.761885147397,-0.539756177983
1470068792983354740,-0.0304404087365,0.303362935781,1.23028671741,-0.218496515214,0.0239759216638,0.774304977793,-0.593410675153
1470068793056776325,-0.0303709711879,0.30158123374,1.22892522812,-0.261216104106,0.0248111503517,0.766461112834,-0.58624902242
1470068793133771670,-0.0300028081983,0.296485871077,1.22163772583,-0.36951553765,0.0296106790502,0.757521080575,-0.537348385692
1470068793214573076,-0.0286539699882,0.287752658129,1.19910550117,-0.227258305793,0.0195191896977,0.761206502446,-0.607072750431
1470068793300912374,-0.0284412391484,0.284440398216,1.19489037991,-0.198411411056,0.0144325307976,0.762568828791,-0.615559416607
1470068793376925181,-0.027647247538,0.268193483353,1.14657592773,-0.208665243397,0.0173251408356,0.77375517564,-0.597880911104
1470068793451809454,-0.027175148949,0.263651043177,1.13917529583,-0.262796580992,0.0310801947322,0.775910831057,-0.572655534125
1470068793524630149,-0.0272096823901,0.261019736528,1.13998663425,-0.255499726874,0.0264590436354,0.769806234504,-0.584309994691
1470068793597965230,-0.0264884848148,0.253261864185,1.12565100193,-0.399845083638,0.0377636050199,0.763185899926,-0.506206579749
1470068793668677629,-0.0256133563817,0.248264998198,1.11298775673,-0.249513281118,0.0251636263851,0.768725701057,-0.588362737593
